"Ticker Symbol","Date","Divide(Momentum(SystemEquity(MACD Crossover System),1),10000)"
"ES_0011N",6/2/2005,3.279981E-03
"ES_0011N",6/3/2005,-5.440039E-03
"ES_0011N",6/6/2005,-3.200195E-04
"ES_0011N",6/7/2005,7.200195E-04
"ES_0011N",6/8/2005,-2.47998E-03
"ES_0011N",6/9/2005,4.07998E-03
"ES_0011N",6/10/2005,-1.759961E-03
"ES_0011N",6/13/2005,2.87998E-03
"ES_0011N",6/14/2005,2.07998E-03
"ES_0011N",6/15/2005,1.279981E-03
"ES_0011N",6/16/2005,0.0032
"ES_0011N",6/17/2005,3.760059E-03
"ES_0011N",6/20/2005,-2.400391E-04
"ES_0011N",6/21/2005,6.40039E-04
"ES_0011N",6/22/2005,1.599609E-04
"ES_0011N",6/23/2005,-1.367998E-02
"ES_0011N",6/24/2005,-0.0062
"ES_0011N",6/27/2005,0
"ES_0011N",6/28/2005,0
"ES_0011N",6/29/2005,0
"ES_0011N",6/30/2005,0
"ES_0011N",7/1/2005,0
"ES_0011N",7/5/2005,0
"ES_0011N",7/6/2005,0
"ES_0011N",7/7/2005,0
"ES_0011N",7/8/2005,0
"ES_0011N",7/11/2005,0
"ES_0011N",7/12/2005,1.47998E-03
"ES_0011N",7/13/2005,1.840039E-03
"ES_0011N",7/14/2005,3.039941E-03
"ES_0011N",7/15/2005,-0.0004
"ES_0011N",7/18/2005,-3.759961E-03
"ES_0011N",7/19/2005,5.359961E-03
"ES_0011N",7/20/2005,2.640039E-03
"ES_0011N",7/21/2005,-0.0052
"ES_0011N",7/22/2005,0.0056
"ES_0011N",7/25/2005,-2.32002E-03
"ES_0011N",7/26/2005,7.200195E-04
"ES_0011N",7/27/2005,3.759961E-03
"ES_0011N",7/28/2005,5.840039E-03
"ES_0011N",7/29/2005,-8.159961E-03
"ES_0011N",8/1/2005,6.399414E-04
"ES_0011N",8/2/2005,0.006
"ES_0011N",8/3/2005,2.160059E-03
"ES_0011N",8/4/2005,-7.840039E-03
"ES_0011N",8/5/2005,-6.559961E-03
"ES_0011N",8/8/2005,-0.002
"ES_0011N",8/9/2005,0.0056
"ES_0011N",8/10/2005,-0.0004
"ES_0011N",8/11/2005,3.679981E-03
"ES_0011N",8/12/2005,-5.920019E-03
"ES_0011N",8/15/2005,0.0052
"ES_0011N",8/16/2005,-0.0106
"ES_0011N",8/17/2005,0
"ES_0011N",8/18/2005,0
"ES_0011N",8/19/2005,0
"ES_0011N",8/22/2005,0
"ES_0011N",8/23/2005,0
"ES_0011N",8/24/2005,0
"ES_0011N",8/25/2005,0
"ES_0011N",8/26/2005,0
"ES_0011N",8/29/2005,0
"ES_0011N",8/30/2005,0
"ES_0011N",8/31/2005,0
"ES_0011N",9/1/2005,0
"ES_0011N",9/2/2005,0
"ES_0011N",9/6/2005,0
"ES_0011N",9/7/2005,7.200195E-04
"ES_0011N",9/8/2005,-2.960059E-03
"ES_0011N",9/9/2005,8.240039E-03
"ES_0011N",9/12/2005,-1.520019E-03
"ES_0011N",9/13/2005,-6.159961E-03
"ES_0011N",9/14/2005,-3.440039E-03
"ES_0011N",9/15/2005,-8.799804E-04
"ES_0011N",9/16/2005,7.040039E-03
"ES_0011N",9/19/2005,-3.440039E-03
"ES_0011N",9/20/2005,-8.32002E-03
"ES_0011N",9/21/2005,-9.359961E-03
"ES_0011N",9/22/2005,3.12002E-03
"ES_0011N",9/23/2005,5.59961E-04
"ES_0011N",9/26/2005,0.0008
"ES_0011N",9/27/2005,1.599609E-04
"ES_0011N",9/28/2005,8.800781E-04
"ES_0011N",9/29/2005,0.0072
"ES_0011N",9/30/2005,0.002
"ES_0011N",10/3/2005,-0.002
"ES_0011N",10/4/2005,-0.012
"ES_0011N",10/5/2005,-4.840039E-03
"ES_0011N",10/6/2005,0
"ES_0011N",10/7/2005,0
"ES_0011N",10/10/2005,0
"ES_0011N",10/11/2005,0
"ES_0011N",10/12/2005,0
"ES_0011N",10/13/2005,0
"ES_0011N",10/14/2005,0
"ES_0011N",10/17/2005,0
"ES_0011N",10/18/2005,0
"ES_0011N",10/19/2005,0
"ES_0011N",10/20/2005,0
"ES_0011N",10/21/2005,0
"ES_0011N",10/24/2005,0
"ES_0011N",10/25/2005,-2.87998E-03
"ES_0011N",10/26/2005,-2.32002E-03
"ES_0011N",10/27/2005,-0.0108
"ES_0011N",10/28/2005,1.375996E-02
"ES_0011N",10/31/2005,8.080078E-03
"ES_0011N",11/1/2005,-0.0028
"ES_0011N",11/2/2005,9.439941E-03
"ES_0011N",11/3/2005,4.479981E-03
"ES_0011N",11/4/2005,-1.359961E-03
"ES_0011N",11/7/2005,6.40039E-04
"ES_0011N",11/8/2005,0
"ES_0011N",11/9/2005,7.199219E-04
"ES_0011N",11/10/2005,0.008
"ES_0011N",11/11/2005,3.440039E-03
"ES_0011N",11/14/2005,-6.40039E-04
"ES_0011N",11/15/2005,-3.759961E-03
"ES_0011N",11/16/2005,1.759961E-03
"ES_0011N",11/17/2005,0.0084
"ES_0011N",11/18/2005,0.004
"ES_0011N",11/21/2005,5.440039E-03
"ES_0011N",11/22/2005,4.07998E-03
"ES_0011N",11/23/2005,0.0052
"ES_0011N",11/25/2005,0.0012
"ES_0011N",11/28/2005,-7.359961E-03
"ES_0011N",11/29/2005,-1.279981E-03
"ES_0011N",11/30/2005,-6.560059E-03
"ES_0011N",12/1/2005,1.736006E-02
"ES_0011N",12/2/2005,1.119922E-03
"ES_0011N",12/5/2005,-2.07998E-03
"ES_0011N",12/6/2005,1.67998E-03
"ES_0011N",12/7/2005,-6.159961E-03
"ES_0011N",12/8/2005,-9.599609E-04
"ES_0011N",12/9/2005,2.07998E-03
"ES_0011N",12/12/2005,1.439941E-03
"ES_0011N",12/13/2005,6.32002E-03
"ES_0011N",12/14/2005,0.004
"ES_0011N",12/15/2005,-3.439941E-03
"ES_0011N",12/16/2005,-2.880078E-03
"ES_0011N",12/19/2005,-5.359961E-03
"ES_0011N",12/20/2005,3.200195E-04
"ES_0011N",12/21/2005,0.0016
"ES_0011N",12/22/2005,4.479981E-03
"ES_0011N",12/23/2005,0.0008
"ES_0011N",12/27/2005,-0.01
"ES_0011N",12/28/2005,9.599609E-04
"ES_0011N",12/29/2005,-4.759961E-03
"ES_0011N",12/30/2005,0
"ES_0011N",1/3/2006,0
"ES_0011N",1/4/2006,0
"ES_0011N",1/5/2006,0
"ES_0011N",1/6/2006,0
"ES_0011N",1/9/2006,2.155017E-03
"ES_0011N",1/10/2006,8.399658E-04
"ES_0011N",1/11/2006,2.519983E-03
"ES_0011N",1/12/2006,-4.269983E-03
"ES_0011N",1/13/2006,-6.300171E-04
"ES_0011N",1/17/2006,-2.239966E-03
"ES_0011N",1/18/2006,-4.060034E-03
"ES_0011N",1/19/2006,3.220068E-03
"ES_0011N",1/20/2006,-0.01645
"ES_0011N",1/23/2006,3.079932E-03
"ES_0011N",1/24/2006,8.400513E-04
"ES_0011N",1/25/2006,4.199829E-04
"ES_0011N",1/26/2006,4.760034E-03
"ES_0011N",1/27/2006,7.979931E-03
"ES_0011N",1/30/2006,-4.899658E-04
"ES_0011N",1/31/2006,-3.430017E-03
"ES_0011N",2/1/2006,2.590051E-03
"ES_0011N",2/2/2006,-1.078002E-02
"ES_0011N",2/3/2006,-4.480017E-03
"ES_0011N",2/6/2006,2.239966E-03
"ES_0011N",2/7/2006,-4.514966E-03
"ES_0011N",2/8/2006,0
"ES_0011N",2/9/2006,0
"ES_0011N",2/10/2006,0
"ES_0011N",2/13/2006,0
"ES_0011N",2/14/2006,0
"ES_0011N",2/15/2006,0
"ES_0011N",2/16/2006,0
"ES_0011N",2/17/2006,-2.394983E-03
"ES_0011N",2/21/2006,-2.590051E-03
"ES_0011N",2/22/2006,0.0049
"ES_0011N",2/23/2006,-0.0014
"ES_0011N",2/24/2006,1.960034E-03
"ES_0011N",2/27/2006,0.0007
"ES_0011N",2/28/2006,-8.119983E-03
"ES_0011N",3/1/2006,1.385995E-02
"ES_0011N",3/2/2006,-2.099487E-04
"ES_0011N",3/3/2006,-3.640051E-03
"ES_0011N",3/6/2006,-4.829932E-03
"ES_0011N",3/7/2006,-0.0014
"ES_0011N",3/8/2006,0.0014
"ES_0011N",3/9/2006,-5.390051E-03
"ES_0011N",3/10/2006,0.0077
"ES_0011N",3/13/2006,1.890051E-03
"ES_0011N",3/14/2006,0.0091
"ES_0011N",3/15/2006,3.779932E-03
"ES_0011N",3/16/2006,1.820068E-03
"ES_0011N",3/17/2006,4.199829E-04
"ES_0011N",3/20/2006,-0.0014
"ES_0011N",3/21/2006,-5.530017E-03
"ES_0011N",3/22/2006,4.969983E-03
"ES_0011N",3/23/2006,-1.959949E-03
"ES_0011N",3/24/2006,0.0007
"ES_0011N",3/27/2006,-1.260034E-03
"ES_0011N",3/28/2006,-6.019983E-03
"ES_0011N",3/29/2006,5.389966E-03
"ES_0011N",3/30/2006,-1.819983E-03
"ES_0011N",3/31/2006,-2.939966E-03
"ES_0011N",4/3/2006,1.679932E-03
"ES_0011N",4/4/2006,0.0063
"ES_0011N",4/5/2006,3.010034E-03
"ES_0011N",4/6/2006,-0.00105
"ES_0011N",4/7/2006,-9.519983E-03
"ES_0011N",4/10/2006,-2.555017E-03
"ES_0011N",4/11/2006,0
"ES_0011N",4/12/2006,0
"ES_0011N",4/13/2006,0
"ES_0011N",4/17/2006,0
"ES_0011N",4/18/2006,0
"ES_0011N",4/19/2006,0
"ES_0011N",4/20/2006,0
"ES_0011N",4/21/2006,0
"ES_0011N",4/24/2006,-0.001625
"ES_0011N",4/25/2006,-3.569983E-03
"ES_0011N",4/26/2006,-2.100342E-04
"ES_0011N",4/27/2006,0.0042
"ES_0011N",4/28/2006,5.600342E-04
"ES_0011N",5/1/2006,-5.390051E-03
"ES_0011N",5/2/2006,6.930017E-03
"ES_0011N",5/3/2006,-4.059949E-03
"ES_0011N",5/4/2006,3.289966E-03
"ES_0011N",5/5/2006,8.330017E-03
"ES_0011N",5/8/2006,-1.190051E-03
"ES_0011N",5/9/2006,1.470068E-03
"ES_0011N",5/10/2006,-0.00105
"ES_0011N",5/11/2006,-1.127007E-02
"ES_0011N",5/12/2006,-8.014966E-03
"ES_0011N",5/15/2006,0
"ES_0011N",5/16/2006,0
"ES_0011N",5/17/2006,0
"ES_0011N",5/18/2006,0
"ES_0011N",5/19/2006,0
"ES_0011N",5/22/2006,0
"ES_0011N",5/23/2006,0
"ES_0011N",5/24/2006,0
"ES_0011N",5/25/2006,0
"ES_0011N",5/26/2006,0
"ES_0011N",5/30/2006,0
"ES_0011N",5/31/2006,0
"ES_0011N",6/1/2006,0
"ES_0011N",6/2/2006,1.419983E-03
"ES_0011N",6/5/2006,-1.323002E-02
"ES_0011N",6/6/2006,-2.589966E-03
"ES_0011N",6/7/2006,-6.860034E-03
"ES_0011N",6/8/2006,-1.396497E-02
"ES_0011N",6/9/2006,0
"ES_0011N",6/12/2006,0
"ES_0011N",6/13/2006,0
"ES_0011N",6/14/2006,0
"ES_0011N",6/15/2006,0
"ES_0011N",6/16/2006,0
"ES_0011N",6/19/2006,0
"ES_0011N",6/20/2006,0
"ES_0011N",6/21/2006,0
"ES_0011N",6/22/2006,-4.844983E-03
"ES_0011N",6/23/2006,-2.800171E-04
"ES_0011N",6/26/2006,3.289966E-03
"ES_0011N",6/27/2006,-0.00735
"ES_0011N",6/28/2006,0.0056
"ES_0011N",6/29/2006,1.743002E-02
"ES_0011N",6/30/2006,-2.239966E-03
"ES_0011N",7/3/2006,6.159949E-03
"ES_0011N",7/5/2006,-0.00595
"ES_0011N",7/6/2006,2.170068E-03
"ES_0011N",7/7/2006,-5.460034E-03
"ES_0011N",7/10/2006,0.0014
"ES_0011N",7/11/2006,3.710034E-03
"ES_0011N",7/12/2006,-0.0098
"ES_0011N",7/13/2006,-1.456003E-02
"ES_0011N",7/14/2006,-0.0007
"ES_0011N",7/17/2006,0
"ES_0011N",7/18/2006,0
"ES_0011N",7/19/2006,0
"ES_0011N",7/20/2006,0
"ES_0011N",7/21/2006,0
"ES_0011N",7/24/2006,0
"ES_0011N",7/25/2006,0
"ES_0011N",7/26/2006,9.649658E-04
"ES_0011N",7/27/2006,-6.299316E-04
"ES_0011N",7/28/2006,0.0084
"ES_0011N",7/31/2006,-0.00175
"ES_0011N",8/1/2006,-3.570068E-03
"ES_0011N",8/2/2006,0.00525
"ES_0011N",8/3/2006,0.0021
"ES_0011N",8/4/2006,-8.399658E-04
"ES_0011N",8/7/2006,-2.660034E-03
"ES_0011N",8/8/2006,-3.779932E-03
"ES_0011N",8/9/2006,-3.780017E-03
"ES_0011N",8/10/2006,2.869983E-03
"ES_0011N",8/11/2006,-2.239966E-03
"ES_0011N",8/14/2006,6.299316E-04
"ES_0011N",8/15/2006,0.01015
"ES_0011N",8/16/2006,7.840051E-03
"ES_0011N",8/17/2006,1.469983E-03
"ES_0011N",8/18/2006,4.269983E-03
"ES_0011N",8/21/2006,-3.359949E-03
"ES_0011N",8/22/2006,-2.100342E-04
"ES_0011N",8/23/2006,-2.939966E-03
"ES_0011N",8/24/2006,-1.190051E-03
"ES_0011N",8/25/2006,0.00105
"ES_0011N",8/28/2006,4.269983E-03
"ES_0011N",8/29/2006,9.800171E-04
"ES_0011N",8/30/2006,0
"ES_0011N",8/31/2006,0.00035
"ES_0011N",9/1/2006,1.288002E-02
"ES_0011N",9/5/2006,0.0014
"ES_0011N",9/6/2006,-0.0084
"ES_0011N",9/7/2006,-4.619983E-03
"ES_0011N",9/8/2006,2.169983E-03
"ES_0011N",9/11/2006,7.699829E-04
"ES_0011N",9/12/2006,0.00945
"ES_0011N",9/13/2006,0.0028
"ES_0011N",9/14/2006,2.100342E-04
"ES_0011N",9/15/2006,1.959949E-03
