Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l),Strategy 2 (days),Strategy 2 (aggregated p&l)
bcd,4/13/2022,15,1.85%,4,0.61%
bcd,4/14/2022,16,1.36%,5,0.11%
bcd,4/18/2022,17,1.86%,6,0.62%
bcd,4/19/2022,18,2.27%,7,1.03%
bcd,4/20/2022,19,2.23%,8,0.99%
bcd,4/21/2022,20,1.76%,9,-0.28%
bcd,4/22/2022,21,1.80%,0,0.00%
bcd,4/25/2022,22,2.28%,0,0.00%
bcd,4/26/2022,23,2.97%,0,0.00%
bcd,4/27/2022,24,3.55%,0,0.00%
bcd,4/28/2022,25,4.33%,0,0.00%
bcd,4/29/2022,26,4.84%,0,0.00%
bcd,5/2/2022,27,4.26%,0,0.00%
bcd,5/3/2022,28,4.96%,0,0.00%
bcd,5/4/2022,29,4.66%,0,0.00%
bcd,5/5/2022,30,3.83%,0,0.00%
bcd,5/6/2022,31,4.78%,0,0.00%
bcd,5/9/2022,32,4.49%,0,0.00%
bcd,5/10/2022,33,4.33%,0,0.00%
bcd,5/11/2022,34,4.65%,0,0.00%
bcd,5/12/2022,35,4.65%,0,0.00%
bcd,5/13/2022,36,6.12%,0,0.00%
bcd,5/16/2022,37,5.81%,0,0.00%
bcd,5/17/2022,38,5.52%,0,0.00%
bcd,5/18/2022,39,4.55%,0,0.00%
bcd,5/19/2022,40,4.10%,0,0.00%
bcd,5/20/2022,0,0.00%,0,0.00%
bcd,5/23/2022,0,0.00%,0,0.00%
bcd,5/24/2022,0,0.00%,0,0.00%
bcd,5/25/2022,0,0.00%,0,0.00%
bcd,5/26/2022,0,0.00%,0,0.00%
bcd,5/27/2022,0,0.00%,0,0.00%
bcd,5/31/2022,0,0.00%,0,0.00%
bcd,6/1/2022,0,0.00%,0,0.00%
bcd,6/2/2022,1,0.69%,0,0.00%
bcd,6/3/2022,2,-0.20%,0,0.00%
bcd,6/6/2022,3,-0.14%,0,0.00%
bcd,6/7/2022,4,0.04%,0,0.00%
bcd,6/8/2022,5,-0.22%,0,0.00%
bcd,6/9/2022,6,-0.41%,0,0.00%
bcd,6/10/2022,7,0.42%,0,0.00%
bcd,6/13/2022,8,1.39%,0,0.00%
bcd,6/14/2022,9,2.29%,1,0.79%
bcd,6/15/2022,10,2.36%,2,0.86%
bcd,6/16/2022,11,2.25%,3,-0.21%
bcd,6/17/2022,12,0.85%,0,0.00%
bcd,6/21/2022,13,1.64%,0,0.00%
bcd,6/22/2022,14,1.27%,0,0.00%
bcd,6/23/2022,15,0.94%,0,0.00%
bcd,6/24/2022,16,1.39%,0,0.00%
bcd,6/27/2022,17,0.56%,0,0.00%
bcd,6/28/2022,0,0.00%,0,0.00%
bcd,6/29/2022,0,0.00%,0,0.00%
bcd,6/30/2022,0,0.00%,0,0.00%
bcd,7/1/2022,1,-0.40%,1,-0.40%
bcd,7/5/2022,2,0.15%,2,0.15%
bcd,7/6/2022,3,1.72%,3,1.72%
bcd,7/7/2022,4,2.49%,4,2.49%
bcd,7/8/2022,5,2.74%,5,2.74%
bcd,7/11/2022,6,2.59%,6,2.59%
bcd,7/12/2022,7,3.66%,7,3.66%
bcd,7/13/2022,8,3.83%,8,3.83%
bcd,7/14/2022,9,3.64%,9,3.64%
bcd,7/15/2022,10,3.99%,10,3.99%
bcd,7/18/2022,11,2.48%,11,3.21%
bcd,7/19/2022,0,0.00%,0,0.00%
bcd,7/20/2022,0,0.00%,0,0.00%
bcd,7/21/2022,0,0.00%,0,0.00%
bcd,7/22/2022,0,0.00%,0,0.00%
bcd,7/25/2022,0,0.00%,0,0.00%
bcd,7/26/2022,0,0.00%,0,0.00%
bcd,7/27/2022,0,0.00%,0,0.00%
bcd,7/28/2022,0,0.00%,1,-0.82%
bcd,7/29/2022,1,0.18%,2,-0.58%
bcd,8/1/2022,2,-0.24%,3,-1.41%
bcd,8/2/2022,3,-0.56%,0,0.00%
bcd,8/3/2022,4,0.24%,0,0.00%
bcd,8/4/2022,5,0.43%,0,0.00%
bcd,8/5/2022,6,-0.48%,0,0.00%
bcd,8/8/2022,7,0.24%,1,0.66%
bcd,8/9/2022,8,0.15%,2,0.56%
bcd,8/10/2022,9,-1.54%,3,-0.42%
bcd,8/11/2022,0,0.00%,0,0.00%
bcd,8/12/2022,0,0.00%,0,0.00%
bcd,8/15/2022,0,0.00%,0,0.00%
bcd,8/16/2022,0,0.00%,0,0.00%
bcd,8/17/2022,1,-0.13%,0,0.00%
bcd,8/18/2022,2,-0.29%,0,0.00%
bcd,8/19/2022,3,0.67%,1,0.82%
bcd,8/22/2022,4,1.24%,2,1.39%
bcd,8/23/2022,5,2.23%,3,2.37%
bcd,8/24/2022,6,1.96%,4,2.11%
bcd,8/25/2022,7,1.95%,5,2.10%
bcd,8/26/2022,8,1.90%,6,1.17%
bcd,8/29/2022,9,1.96%,0,0.00%
bcd,8/30/2022,10,1.70%,0,0.00%
bcd,8/31/2022,11,1.42%,0,0.00%
bcd,9/1/2022,12,1.19%,0,0.00%
bcd,9/2/2022,13,2.20%,0,0.00%
bcd,9/6/2022,14,1.88%,0,0.00%
bcd,9/7/2022,15,2.31%,0,0.00%
bcd,9/8/2022,16,1.46%,0,0.00%
bcd,9/9/2022,17,0.47%,0,0.00%
bcd,9/12/2022,0,0.00%,0,0.00%
bcd,9/13/2022,0,0.00%,0,0.00%
bcd,9/14/2022,0,0.00%,0,0.00%
bcd,9/15/2022,0,0.00%,0,0.00%
bcd,9/16/2022,0,0.00%,0,0.00%
bcd,9/19/2022,1,-0.08%,0,0.00%
bcd,9/20/2022,2,-0.18%,0,0.00%
bcd,9/21/2022,3,0.26%,0,0.00%
bcd,9/22/2022,4,0.88%,0,0.00%
bcd,9/23/2022,5,1.68%,0,0.00%
bcd,9/26/2022,6,3.26%,0,0.00%
bcd,9/27/2022,7,3.88%,0,0.00%
bcd,9/28/2022,8,4.01%,0,0.00%
bcd,9/29/2022,9,2.40%,0,0.00%
bcd,9/30/2022,0,0.00%,0,0.00%
bcd,10/3/2022,0,0.00%,0,0.00%
bcd,10/4/2022,0,0.00%,0,0.00%
bcd,10/5/2022,0,0.00%,0,0.00%
bcd,10/6/2022,0,0.00%,0,0.00%
bcd,10/7/2022,0,0.00%,0,0.00%
bcd,10/10/2022,0,0.00%,0,0.00%
bcd,10/11/2022,0,0.00%,0,0.00%
