Ticker Symbol,Date,"Divide(Momentum(Avg2(SystemEquity(R%_3),SystemEquity(Long Term)),1),10000)"
CU_0011N,8/17/2011,0.0020
CU_0011N,8/18/2011,-0.0044
CU_0011N,8/19/2011,0.0022
CU_0011N,8/22/2011,-0.0005
CU_0011N,8/23/2011,0.0041
CU_0011N,8/24/2011,-0.0003
CU_0011N,8/25/2011,-0.0036
CU_0011N,8/26/2011,0.0081
CU_0011N,8/29/2011,0.0016
CU_0011N,8/30/2011,-0.0039
CU_0011N,8/31/2011,-0.0049
CU_0011N,9/1/2011,-0.0084
CU_0011N,9/2/2011,-0.0058
CU_0011N,9/6/2011,-0.0007
CU_0011N,9/7/2011,0.0000
CU_0011N,9/8/2011,0.0000
CU_0011N,9/9/2011,0.0000
CU_0011N,9/12/2011,0.0000
CU_0011N,9/13/2011,0.0000
CU_0011N,9/14/2011,0.0000
CU_0011N,9/15/2011,0.0000
CU_0011N,9/16/2011,0.0000
CU_0011N,9/19/2011,0.0000
CU_0011N,9/20/2011,0.0000
CU_0011N,9/21/2011,0.0000
CU_0011N,9/22/2011,0.0000
CU_0011N,9/23/2011,0.0000
CU_0011N,9/26/2011,0.0000
CU_0011N,9/27/2011,-0.0046
CU_0011N,9/28/2011,0.0025
CU_0011N,9/29/2011,0.0006
CU_0011N,9/30/2011,0.0052
CU_0011N,10/3/2011,0.0074
CU_0011N,10/4/2011,-0.0007
CU_0011N,10/5/2011,-0.0043
CU_0011N,10/6/2011,-0.0025
CU_0011N,10/7/2011,-0.0015
CU_0011N,10/10/2011,0.0000
CU_0011N,10/11/2011,0.0000
CU_0011N,10/12/2011,0.0000
CU_0011N,10/13/2011,0.0000
CU_0011N,10/14/2011,0.0000
CU_0011N,10/17/2011,0.0000
CU_0011N,10/18/2011,0.0000
CU_0011N,10/19/2011,-0.0006
CU_0011N,10/20/2011,-0.0015
CU_0011N,10/21/2011,-0.0070
CU_0011N,10/24/2011,-0.0051
CU_0011N,10/25/2011,0.0007
CU_0011N,10/26/2011,0.0011
CU_0011N,10/27/2011,-0.0031
CU_0011N,10/28/2011,0.0000
CU_0011N,10/31/2011,0.0000
CU_0011N,11/1/2011,0.0000
CU_0011N,11/2/2011,-0.0025
CU_0011N,11/3/2011,-0.0061
CU_0011N,11/4/2011,0.0042
CU_0011N,11/7/2011,0.0001
CU_0011N,11/8/2011,-0.0050
CU_0011N,11/9/2011,0.0218
CU_0011N,11/10/2011,-0.0031
CU_0011N,11/11/2011,-0.0121
CU_0011N,11/14/2011,0.0100
CU_0011N,11/15/2011,0.0050
CU_0011N,11/16/2011,0.0023
CU_0011N,11/17/2011,0.0034
CU_0011N,11/18/2011,-0.0036
CU_0011N,11/21/2011,0.0012
CU_0011N,11/22/2011,-0.0007
CU_0011N,11/23/2011,0.0130
CU_0011N,11/25/2011,0.0065
CU_0011N,11/28/2011,-0.0047
CU_0011N,11/29/2011,-0.0020
CU_0011N,11/30/2011,-0.0111
CU_0011N,12/1/2011,-0.0011
CU_0011N,12/2/2011,0.0019
CU_0011N,12/5/2011,0.0001
CU_0011N,12/6/2011,-0.0003
CU_0011N,12/7/2011,0.0006
CU_0011N,12/8/2011,0.0021
CU_0011N,12/9/2011,-0.0013
CU_0011N,12/12/2011,0.0066
CU_0011N,12/13/2011,0.0100
CU_0011N,12/14/2011,0.0045
CU_0011N,12/15/2011,-0.0023
CU_0011N,12/16/2011,-0.0009
CU_0011N,12/19/2011,0.0008
CU_0011N,12/20/2011,-0.0043
CU_0011N,12/21/2011,0.0020
CU_0011N,12/22/2011,-0.0001
CU_0011N,12/23/2011,-0.0010
CU_0011N,12/27/2011,-0.0009
CU_0011N,12/28/2011,0.0097
CU_0011N,12/29/2011,0.0004
CU_0011N,12/30/2011,-0.0016
CU_0011N,1/3/2012,-0.0070
CU_0011N,1/4/2012,0.0088
CU_0011N,1/5/2012,0.0113
CU_0011N,1/6/2012,0.0047
CU_0011N,1/9/2012,-0.0024
CU_0011N,1/10/2012,-0.0025
CU_0011N,1/11/2012,0.0071
CU_0011N,1/12/2012,-0.0098
CU_0011N,1/13/2012,0.0119
CU_0011N,1/17/2012,-0.0039
CU_0011N,1/18/2012,-0.0086
CU_0011N,1/19/2012,-0.0078
CU_0011N,1/20/2012,0.0000
CU_0011N,1/23/2012,0.0000
CU_0011N,1/24/2012,0.0000
CU_0011N,1/25/2012,0.0000
CU_0011N,1/26/2012,0.0000
CU_0011N,1/27/2012,0.0000
CU_0011N,1/30/2012,0.0000
CU_0011N,1/31/2012,0.0000
CU_0011N,2/1/2012,-0.0027
CU_0011N,2/2/2012,0.0006
CU_0011N,2/3/2012,-0.0004
CU_0011N,2/6/2012,0.0008
CU_0011N,2/7/2012,-0.0094
CU_0011N,2/8/2012,-0.0004
CU_0011N,2/9/2012,-0.0028
CU_0011N,2/10/2012,0.0090
CU_0011N,2/13/2012,-0.0025
CU_0011N,2/14/2012,0.0085
CU_0011N,2/15/2012,0.0024
CU_0011N,2/16/2012,-0.0059
CU_0011N,2/17/2012,-0.0014
CU_0011N,2/21/2012,-0.0082
CU_0011N,2/22/2012,0.0001
CU_0011N,2/23/2012,-0.0029
CU_0011N,2/24/2012,0.0000
CU_0011N,2/27/2012,0.0000
CU_0011N,2/28/2012,0.0000
CU_0011N,2/29/2012,0.0000
CU_0011N,3/1/2012,0.0000
CU_0011N,3/2/2012,0.0077
CU_0011N,3/5/2012,-0.0016
CU_0011N,3/6/2012,0.0092
CU_0011N,3/7/2012,-0.0032
CU_0011N,3/8/2012,-0.0093
CU_0011N,3/9/2012,0.0125
CU_0011N,3/12/2012,-0.0032
CU_0011N,3/13/2012,0.0057
CU_0011N,3/14/2012,0.0038
CU_0011N,3/15/2012,-0.0055
CU_0011N,3/16/2012,-0.0058
CU_0011N,3/19/2012,-0.0050
CU_0011N,3/20/2012,0.0007
CU_0011N,3/21/2012,0.0020
CU_0011N,3/22/2012,0.0017
CU_0011N,3/23/2012,-0.0062
CU_0011N,3/26/2012,-0.0051
CU_0011N,3/27/2012,0.0000
CU_0011N,3/28/2012,0.0000
CU_0011N,3/29/2012,0.0000
CU_0011N,3/30/2012,-0.0014
CU_0011N,4/2/2012,0.0000
CU_0011N,4/3/2012,0.0081
